ein,organization_name,dba_name,entity_type, total_participants ,plan_count,mail_us_address1,mail_us_address2,mail_us_city,mail_us_state,mail_us_zip,phone_num,web site domain,Chief Executive Officer/CEO,Chief Financial Officer/CFO,President,Vice President/VP ,Secretary Treasurer,Treasurer,Executive Vice President,Executive Director,Director of Finance,Chief Counsel,Deputy Chief Counsel,Preisent & CEO,email domain
530115260,NATIONAL EDUCATION ASSOCIATION OF THE UNITED STATES,,Taft-Hartley Trust,"2,818,592",4,1201 16TH ST NW STE 813,,WASHINGTON,DC,20036,2028227179,,,,,,,,,,,,,,
16196051,TRUSTEES OF INTERNATIONAL BROTHERHOOD TEAMSTERS VOLUNTARY EMPLOYEE B,VOLUNTARY EMPLOYEE BENEFITS TRUST,Taft-Hartley Trust,"1,889,454",1,"25 LOUISIANA AVENUE, NW",,WASHINGTON,DC,20001,2026246800,,,,,,,,,,,,,,
521846907,AMERICAN FEDERATION OF TEACHERS BENEFIT TRUST,,Taft-Hartley Trust,"1,690,517",1,"555 NEW JERSEY AVE., NW",,WASHINGTON,DC,20001,2028794400,,,,,,,,,,,,,,
900424876,THE COMMITTEE OF THE UAW RETIREE MEDICAL BENEFITS TRUST,,Taft-Hartley Trust,"344,242",3,200 WALKER STREET,,DETROIT,MI,48207,3133245900,,,,,,,,,,,,,,
800616625,JOINT PLAN COMMITTEE,,Taft-Hartley Trust,"273,690",1,251 - 18TH STREET SOUTH SUITE 750,,ARLINGTON,VA,22202,5713367600,,,,,,,,,,,,,,
362154936,"TRUSTEES OF CENTRAL STATES, SE & SW AREAS HEALTH & WELFARE FUND",,Taft-Hartley Trust,"251,799",2,8647 WEST HIGGINS ROAD,,CHICAGO,IL,60631,8475189800,,,,,,,,,,,,,,
842844698,BOARD OF TRUSTEES - AFL-CIO MUTUAL BENEFIT PLAN,,Taft-Hartley Trust,"231,154",1,"1100 FIRST STREET, NE",SUITE 850,WASHINGTON,DC,20002,2027789815,,,,,,,,,,,,,,
231317409,STEELWORKERS HEALTH AND WELFARE FUND,,Taft-Hartley Trust,"226,008",4,60 BOULEVARD OF THE ALLIES 5TH FL,,PITTSBURGH,PA,15222,4125622296,,,,,,,,,,,,,,
131628401,BOARD OF TRUSTEES OF 1199SEIU NBF HEALTH AND HUMAN SERVICE EMPLOYEES,,Taft-Hartley Trust,"154,597",1,P.O. BOX 842,,NEW YORK,NY,10108,6464736336,,,,,,,,,,,,,,
800616629,GOVERNING COMMITTEE,,Taft-Hartley Trust,"129,645",1,"251 - 18TH STREET, SOUTH, SUITE 750",,ARLINGTON,VA,22202,5713367600,,,,,,,,,,,,,,
132928869,BOARD OF TRUSTEES OF THE BUILDING SERVICE 32BJ HEALTH FUND,,Taft-Hartley Trust,"125,789",1,25 WEST 18TH STREET,,NEW YORK,NY,10011,2125392778,,,,,,,,,,,,,,
237385560,TRUSTEES OF UNITE HERE HEALTH,,Taft-Hartley Trust,"110,746",1,711 N COMMONS DRIVE,,AURORA,IL,60504,6302365100,,,,,,,,,,,,,,
135598093,TRUSTEES OF COLUMBIA UNIVERSITY C/O BENEFITS DEPARTMENT,,Taft-Hartley Trust,"82,211",4,615 WEST 131ST STREET,MC 8705,NEW YORK,NY,10027,2128517000,,,,,,,,,,,,,,
956042583,"BOARD OF DIRECTORS, MOTION PICTURE INDUSTRY HEALTH",PLAN,Taft-Hartley Trust,"79,620",1,11365 VENTURA BLVD,,STUDIO CITY,CA,91604,8187690007,,,,,,,,,,,,,,
111823976,BOARD OF TRUSTEES OF THE UNITED WELFARE FUND,,Taft-Hartley Trust,"74,993",1,138-50 QUEENS BOULEVARD,,BRIARWOOD,NY,11435,7186584848,,,,,,,,,,,,,,
946001323,UNION PACIFIC RAILROAD COMPANY,,Taft-Hartley Trust,"74,676",2,1400 DOUGLAS STREET STOP 1620,,OMAHA,NE,68179,4025445000,,,,,,,,,,,,,,
521588740,PENNSYLVANIA EMPLOYEES BENEFIT TRUST FUND,,Taft-Hartley Trust,"71,749",1,150 S 43RD ST STE 1,,HARRISBURG,PA,17111,7175614750,,,,,,,,,,,,,,
231352685,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,,Taft-Hartley Trust,"71,445",4,3600 CIVIC CENTER BLVD STE 400,,PHILADELPHIA,PA,19104,2156152623,,,,,,,,,,,,,,
366066988,BOARD OF TRUSTEES OF LINE CONSTRUCTION BENEFIT FUND,,Taft-Hartley Trust,"66,035",1,821 PARKVIEW BOULEVARD,,LOMBARD,IL,60148,8003237268,,,,,,,,,,,,,,
520595110,JOHNS HOPKINS UNIVERSITY,,Taft-Hartley Trust,"64,680",15,OFFICE OF BENEFITS SERVICES,"1101 E. 33RD STREET, SUITE C-020",BALTIMORE,MD,21218,4105162000,,,,,,,,,,,,,,
952301788,UNITED FOOD & COMMERCIAL WORKERS UNIONS & FOOD EMPLOYERS BENEFIT FUND,UNIONS AND FOOD EMPLOYERS BENEFIT,Taft-Hartley Trust,"60,815",1,6425 KATELLA AVE,,CYPRESS,CA,90630,7142202297,,,,,,,,,,,,,,
611088522,AECOM,,Taft-Hartley Trust,"59,117",2,300 SOUTH GRAND AVENUE,2ND FLOOR,LOS ANGELES,CA,90071,2083865000,,,,,,,,,,,,,,
382069753,BLUE CROSS BLUE SHIELD OF MICHIGAN,,Taft-Hartley Trust,"56,745",11,600 LAFAYETTE EAST,MAIL CODE 1801,DETROIT,MI,48226,3132259000,,,,,,,,,,,,,,
866052021,TEAMSTERS WESTERN REGION AND NEW JERSEY HEALTH CARE FUND,,Taft-Hartley Trust,"56,574",2,"2550 W. UNION HILLS DRIVE, STE 290",,PHOENIX,AZ,85027,8552152039,,,,,,,,,,,,,,
250542520,KRAFT HEINZ FOODS COMPANY,,Taft-Hartley Trust,"53,310",2,"200 E RANDOLPH, SUITE 7600",,CHICAGO,IL,60601,8476462000,,,,,,,,,,,,,,
316173363,BOARD OF TRUSTEES OF THE HEARTLAND HEALTH AND WELLNESS FUND,,Taft-Hartley Trust,"49,653",1,"7250 POE AVENUE, SUITE 300",,DAYTON,OH,45414,9376651900,,,,,,,,,,,,,,
946078804,UFCW & EMPLOYER BENEFIT TRUST,,Taft-Hartley Trust,"46,701",2,1000 BURNETT AVE SUITE 110,,CONCORD,CA,94520,9257467530,,,,,,,,,,,,,,
274411485,BD OF TRUSTEE-AMALGAMATED NATIONAL HEALTH FUND,,Taft-Hartley Trust,"44,471",1,333 WESTCHESTER AVENUE,,WHITE PLAINS,NY,10604,9143675000,,,,,,,,,,,,,,
60646973,YALE UNIVERSITY,,Taft-Hartley Trust,"43,871",2,221 WHITNEY AVENUE,,NEW HAVEN,CT,6511,2034325552,,,,,,,,,,,,,,
