ein,organization_name,dba_name,entity_type,total_participants,plan_count,mail_us_address1,mail_us_address2,mail_us_city,mail_us_state,mail_us_zip,phone_number,website_domain,Chief Executive Officer/CEO,Chief Financial Officer/CFO,President,Vice President/VP,Secretary Treasurer,Treasurer,Executive Vice President,Executive Director,Director of Finance,Chief Counsel,Deputy Chief Counsel,President & CEO,email_domain,scrape_status,scrape_date,scrape_attempts,last_scrape_error,data_quality_score,executives_found,linkedin_profile_url,company_website_verified,data_source,last_updated,General Counsel,Fund Administrator,Administrator,Assistant Administrator,Benefits Administrator,Plan Administrator,Trust Administrator,Chief Operating Officer/COO,Chief Technology Officer/CTO,Chief Information Officer/CIO,Chief Human Resources Officer/CHRO,Chief Marketing Officer/CMO,Chief Legal Officer/CLO,Managing Director,Executive Secretary,Assistant Secretary,Assistant Treasurer,Controller,Benefits Manager,HR Director,Operations Director,IT Director,Communications Director,Board Chair,Board Secretary,Trustee Chair,Union President,Union Secretary-Treasurer,Business Manager,local_union_number,parent_union,phone_number_cleaned,website_domain_cleaned,email_domain_cleaned,data_completeness_score
530115260,NATIONAL EDUCATION ASSOCIATION OF THE UNITED STATES,,Taft-Hartley Trust,"2,818,592",4,1201 16TH ST NW STE 813,,WASHINGTON,DC,20036.0,2028227179,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(202) 822-7179,,,84.44
16196051,TRUSTEES OF INTERNATIONAL BROTHERHOOD TEAMSTERS VOLUNTARY EMPLOYEE B,VOLUNTARY EMPLOYEE BENEFITS TRUST,Taft-Hartley Trust,"1,889,454",1,"25 LOUISIANA AVENUE, NW",,WASHINGTON,DC,20001.0,2026246800,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Brotherhood of Teamsters,(202) 624-6800,,,84.44
521846907,AMERICAN FEDERATION OF TEACHERS BENEFIT TRUST,,Taft-Hartley Trust,"1,690,517",1,"555 NEW JERSEY AVE., NW",,WASHINGTON,DC,20001.0,2028794400,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(202) 879-4400,,,84.44
900424876,THE COMMITTEE OF THE UAW RETIREE MEDICAL BENEFITS TRUST,,Taft-Hartley Trust,"344,242",3,200 WALKER STREET,,DETROIT,MI,48207.0,3133245900,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Auto Workers,(313) 324-5900,,,84.44
800616625,JOINT PLAN COMMITTEE,,Taft-Hartley Trust,"273,690",1,251 - 18TH STREET SOUTH SUITE 750,,ARLINGTON,VA,22202.0,5713367600,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(571) 336-7600,,,84.44
362154936,"TRUSTEES OF CENTRAL STATES, SE & SW AREAS HEALTH & WELFARE FUND",,Taft-Hartley Trust,"251,799",2,8647 WEST HIGGINS ROAD,,CHICAGO,IL,60631.0,8475189800,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(847) 518-9800,,,84.44
842844698,BOARD OF TRUSTEES - AFL-CIO MUTUAL BENEFIT PLAN,,Taft-Hartley Trust,"231,154",1,"1100 FIRST STREET, NE",SUITE 850,WASHINGTON,DC,20002.0,2027789815,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Federation of Labor and Congress of Industrial Organizations,(202) 778-9815,,,84.44
231317409,STEELWORKERS HEALTH AND WELFARE FUND,,Taft-Hartley Trust,"226,008",4,60 BOULEVARD OF THE ALLIES 5TH FL,,PITTSBURGH,PA,15222.0,4125622296,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Steelworkers,(412) 562-2296,,,84.44
131628401,BOARD OF TRUSTEES OF 1199SEIU NBF HEALTH AND HUMAN SERVICE EMPLOYEES,,Taft-Hartley Trust,"154,597",1,P.O. BOX 842,,NEW YORK,NY,10108.0,6464736336,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Service Employees International Union,(646) 473-6336,,,84.44
800616629,GOVERNING COMMITTEE,,Taft-Hartley Trust,"129,645",1,"251 - 18TH STREET, SOUTH, SUITE 750",,ARLINGTON,VA,22202.0,5713367600,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(571) 336-7600,,,84.44
132928869,BOARD OF TRUSTEES OF THE BUILDING SERVICE 32BJ HEALTH FUND,,Taft-Hartley Trust,"125,789",1,25 WEST 18TH STREET,,NEW YORK,NY,10011.0,2125392778,,,,,,,,,,,,,,,pending,,0,,,0,,,Form 5500,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(212) 539-2778,,,84.44
